stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_issuer,tls_algorithm_id,tls_handshake_ciphersuite,tls_handshake_extensions_length,tls_handshake_server_curve_type,tls_handshake_server_named_curve,tls_handshake_echde_server_pubkey_len,tls_handshake_echde_client_pubkey_len,tls_server_name,tls_ja3_hash
76,192.168.64.11,158.69.207.216,19,47894,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.2jf3om.com,83d60721ecc423892660e275acc4dffd
77,192.168.64.11,23.250.14.98,14,44450,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.cxsjstdz4jslb5qedocf.com,83d60721ecc423892660e275acc4dffd
78,192.168.64.11,158.69.207.216,18,48168,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.oa2q7nyumj3ej6v.com,83d60721ecc423892660e275acc4dffd
79,192.168.64.11,85.195.208.19,36,53874,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.lsaa6njbvecq7iop.com,83d60721ecc423892660e275acc4dffd
80,192.168.64.11,23.250.14.98,19,44726,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.swup5gtq7geeq.com,83d60721ecc423892660e275acc4dffd
81,192.168.64.11,158.69.207.216,24,47964,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.ojeldmpwv5ikgi3f7cn5rf.com,83d60721ecc423892660e275acc4dffd
82,192.168.64.11,23.250.14.98,19,44520,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.4pho5mteryyfstqkm.com,83d60721ecc423892660e275acc4dffd
83,192.168.64.11,185.125.188.54,16,50864,443,0x0304,0x304,19,FALSE,FALSE,4,12,,,,,,,0x1302,46,,,,,api.snapcraft.io,df669e7ea913f1ac0c0cce9a201a2ec1
84,192.168.64.11,85.195.208.19,25,53674,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.bzvxkwwxl5bdmkrs2jnipaaf.com,83d60721ecc423892660e275acc4dffd
85,192.168.64.11,85.195.208.19,20,53968,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.nbhsg4mhfvw2qefmlkz.com,83d60721ecc423892660e275acc4dffd
86,192.168.64.11,158.69.207.216,36,48266,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.6ifxuzoaskjgnkzsxti5ftooi.com,83d60721ecc423892660e275acc4dffd
87,192.168.64.11,23.250.14.98,23,44828,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.5uej.com,83d60721ecc423892660e275acc4dffd
88,192.168.64.11,85.195.208.19,37,53936,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.cqa2z55iofjusm3mjxjd64.com,83d60721ecc423892660e275acc4dffd
89,192.168.64.11,158.69.207.216,20,48240,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.g6bwybbcyuvcj.com,83d60721ecc423892660e275acc4dffd
90,192.168.64.11,23.250.14.98,13,44796,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.62dgndrzz.com,83d60721ecc423892660e275acc4dffd
92,192.168.64.11,85.195.208.19,38,53606,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.74zpo.com,83d60721ecc423892660e275acc4dffd
91,192.168.64.11,23.250.14.98,39,44454,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.gvm5pt6mvqz2.com,83d60721ecc423892660e275acc4dffd
93,192.168.64.11,158.69.207.216,25,47906,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.zi5256noc7sfibkrz7znt.com,83d60721ecc423892660e275acc4dffd
94,192.168.64.11,85.195.208.19,25,53778,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.vis45mz2dsfh24wnlpoat.com,83d60721ecc423892660e275acc4dffd
