,stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash,TOR
289,334,192.168.64.11,52.41.199.178,14,41880,443,0x0303,0x304,m.stripe.com,17.0,False,True,6.0,2.0,,0xc02f,29.0,1.0,4.0,2.0,2939.0,2022-04-11 00:00:00 (UTC),2022-08-03 23:59:59 (UTC),34.0,579ccef312d18482fc42e2b822ca2430,0
290,338,192.168.64.11,104.18.5.81,10,40130,443,0x0304,0x304,e1cef1f0-495f-4973-ba1c-880786e73a66.edge.permutive.app,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
291,339,192.168.64.11,35.244.142.80,17,56012,443,0x0304,0x304,cdn.pdst.fm,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
292,340,192.168.64.11,216.137.34.250,13,58304,443,0x0304,0x304,sc-static.net,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
293,341,192.168.64.11,13.32.168.122,8,48772,443,0x0304,0x304,js.adsrvr.org,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
294,343,192.168.64.11,34.107.254.252,4,39288,443,0x0304,0x304,api.permutive.com,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
295,344,192.168.64.11,35.190.43.134,4,33738,443,0x0304,0x304,tr.snapchat.com,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
296,346,192.168.64.11,35.190.43.134,4,33742,443,0x0304,0x304,tr.snapchat.com,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
297,345,192.168.64.11,35.190.43.134,4,33740,443,0x0304,0x304,tr.snapchat.com,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
298,347,192.168.64.11,35.241.9.51,4,33682,443,0x0304,0x304,e1cef1f0-495f-4973-ba1c-880786e73a66.prmutv.co,17.0,False,True,6.0,2.0,29.0,0x1301,29.0,1.0,4.0,,,,,46.0,579ccef312d18482fc42e2b822ca2430,0
