stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash
380,192.168.64.11,34.250.172.3,6,49648,443,0x0303,0x304,dpm.demdex.net,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,3,3911,2021-10-19 00:00:00 (UTC),2022-11-19 23:59:59 (UTC),13,579ccef312d18482fc42e2b822ca2430
381,192.168.64.11,216.58.212.232,18,43260,443,0x0304,0x304,www.googletagmanager.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
383,192.168.64.11,204.79.197.200,27,37418,443,0x0303,0x304,bat.bing.com,17.0,False,True,6.0,2,,0xc030,29,1,4.0,2,4800,2022-06-10 01:15:41 (UTC),2022-12-10 01:15:41 (UTC),26,579ccef312d18482fc42e2b822ca2430
385,192.168.64.11,199.232.56.84,12,36376,443,0x0304,0x304,s.pinimg.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
384,192.168.64.11,204.79.197.200,7,37420,443,0x0303,0x304,bat.bing.com,17.0,False,True,6.0,2,,0xc030,29,1,4.0,2,4800,2022-06-10 01:15:41 (UTC),2022-12-10 01:15:41 (UTC),26,579ccef312d18482fc42e2b822ca2430
387,192.168.64.11,104.17.209.240,94,55094,443,0x0304,0x304,zn6mcrij6xncfajof-adidastrial.siteintercept.qualtrics.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
386,192.168.64.11,3.123.106.50,8,35234,443,0x0303,0x304,ads.celtra.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,4,4935,2022-02-09 00:00:00 (UTC),2023-03-10 23:59:59 (UTC),13,579ccef312d18482fc42e2b822ca2430
388,192.168.64.11,54.192.225.252,9,45642,443,0x0304,0x304,sc-static.net,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
389,192.168.64.11,5.150.170.1,10,53144,443,0x0303,0x304,pzapi-kg.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,3,4576,2021-11-01 00:00:00 (UTC),2022-11-26 23:59:59 (UTC),17,579ccef312d18482fc42e2b822ca2430
394,192.168.64.11,172.67.20.158,15,37608,443,0x0304,0x304,cdn.quantummetric.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
