stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_cert_length,tls_issuer,tls_algorithm_id,tls_handshake_ciphersuite,tls_handshake_extensions_length,tls_handshake_server_curve_type,tls_handshake_server_named_curve,tls_handshake_echde_server_pubkey_len,tls_handshake_echde_client_pubkey_len,tls_server_name,tls_ja3_hash,tls_cipher_suite_length
86,192.168.64.11,52.18.211.80,10,36102,443,0x0303,1876,,1.2.840.113549.1.1.11,0xc02f,26,0x03,0x0017,65,65,beacon.krxd.net,cd08e31494f9531f560d64c695473da9,
82,192.168.64.11,52.46.130.91,18,46374,443,0x0303,,,,0xc02f,5,,,,,s.amazon-adsystem.com,cd08e31494f9531f560d64c695473da9,
85,192.168.64.11,52.46.130.91,6,46380,443,0x0303,,,,0xc02f,5,,,,,s.amazon-adsystem.com,cd08e31494f9531f560d64c695473da9,
84,192.168.64.11,52.46.130.91,12,46378,443,0x0303,,,,0xc02f,5,,,,,s.amazon-adsystem.com,cd08e31494f9531f560d64c695473da9,
87,192.168.64.11,52.46.130.91,10,46384,443,0x0303,,,,0xc02f,5,,,,,s.amazon-adsystem.com,cd08e31494f9531f560d64c695473da9,
88,192.168.64.11,52.46.130.91,12,46386,443,0x0303,,,,0xc02f,5,,,,,s.amazon-adsystem.com,cd08e31494f9531f560d64c695473da9,
90,192.168.64.11,104.244.42.131,10,44572,443,0x0304,,,,0x1301,46,,,,,analytics.twitter.com,cd08e31494f9531f560d64c695473da9,
89,192.168.64.11,54.237.50.216,7,41800,443,0x0303,1495,*.samplicio.us,1.2.840.113549.1.1.11,0xc02f,13,0x03,0x0017,65,65,usersync.samplicio.us,cd08e31494f9531f560d64c695473da9,
91,192.168.64.11,188.65.124.66,10,40496,443,0x0304,,,,0x1302,46,,,,,public-prod-dspcookiematching.dmxleo.com,cd08e31494f9531f560d64c695473da9,
92,192.168.64.11,213.19.162.90,8,35650,443,0x0303,1750,*.rubiconproject.com,1.2.840.113549.1.1.11,0x009d,24,,,,,pixel.rubiconproject.com,cd08e31494f9531f560d64c695473da9,
93,192.168.64.11,52.213.169.152,10,47764,443,0x0303,1737,*.demdex.net,1.2.840.113549.1.1.11,0xc02f,13,0x03,0x0017,65,65,dpm.demdex.net,cd08e31494f9531f560d64c695473da9,
95,192.168.64.11,34.98.67.61,11,35964,443,0x0304,,,,0x1301,46,,,,,odr.mookie1.com,cd08e31494f9531f560d64c695473da9,
97,192.168.64.11,185.94.180.126,9,52272,443,0x0303,1652,*.search.spotxchange.com,1.2.840.113549.1.1.11,0xc02f,15,0x03,0x0017,65,65,sync.search.spotxchange.com,cd08e31494f9531f560d64c695473da9,
98,192.168.64.11,142.250.179.226,13,49410,443,0x0304,,,,0x1301,46,,,,,cm.g.doubleclick.net,cd08e31494f9531f560d64c695473da9,
94,192.168.64.11,52.207.33.0,9,40320,443,0x0303,1614,*.samba.tv,1.2.840.113549.1.1.11,0xc02f,26,0x03,0x0017,65,65,ads.samba.tv,cd08e31494f9531f560d64c695473da9,
96,192.168.64.11,37.157.3.30,13,48686,443,0x0303,2191,København,1.2.840.113549.1.1.11,0xc02f,30,0x03,0x0017,65,65,c1.adform.net,cd08e31494f9531f560d64c695473da9,
99,192.168.64.11,108.138.212.101,11,48420,443,0x0304,,,,0x1301,46,,,,,dr3fr5q4g2ul9.cloudfront.net,cd08e31494f9531f560d64c695473da9,
100,192.168.64.11,108.156.32.30,12,48006,443,0x0304,,,,0x1301,46,,,,,d2ef20sk9hi1u3.cloudfront.net,cd08e31494f9531f560d64c695473da9,
102,192.168.64.11,52.29.252.234,13,33282,443,0x0303,1540,,1.2.840.113549.1.1.11,0xc02f,26,0x03,0x0017,65,65,bs.serving-sys.com,cd08e31494f9531f560d64c695473da9,
